path,filename,size_kb,type,extension
data/raw/Edgar Cayce and the Palma Christi by William A. McGarey.pdf,Edgar Cayce and the Palma Christi by William A. McGarey.pdf,1999.1865234375,application/pdf,.pdf
data/raw/The_Beginning_of_Infinity_-_David_Deutsch.pdf,The_Beginning_of_Infinity_-_David_Deutsch.pdf,5613.7802734375,application/pdf,.pdf
data/raw/Russ Dizdar - The Black Awakening.pdf,Russ Dizdar - The Black Awakening.pdf,873.478515625,application/pdf,.pdf
"data/raw/Erikson, Thomas - Surrounded by Idiots (2019).epub","Erikson, Thomas - Surrounded by Idiots (2019).epub",1982.533203125,application/epub+zip,.epub
data/raw/Greene - The 48 Laws of Power.pdf,Greene - The 48 Laws of Power.pdf,11411.6474609375,application/pdf,.pdf
data/raw/The Age of Entitlement (Christopher Caldwell [Christopher Caldwell]).pdf,The Age of Entitlement (Christopher Caldwell [Christopher Caldwell]).pdf,7456.224609375,application/pdf,.pdf
data/raw/Hypnotically Annihilating Anxiety - Penetr - The Rogue Hypnotist.epub,Hypnotically Annihilating Anxiety - Penetr - The Rogue Hypnotist.epub,526.9384765625,application/epub+zip,.epub
"data/raw/_Carolyn_Dean_The_Magnesium_Miracle_15_Aug_2017,_Ballantine_Books.pdf","_Carolyn_Dean_The_Magnesium_Miracle_15_Aug_2017,_Ballantine_Books.pdf",7349.1474609375,application/pdf,.pdf
data/raw/How_to_Get_Rich_-_Felix_Dennis.pdf,How_to_Get_Rich_-_Felix_Dennis.pdf,2109.4736328125,application/pdf,.pdf
data/raw/_Dr_Mark_Sircus_Transdermal_Magnesium_Therapy_A_New_Modality_for.pdf,_Dr_Mark_Sircus_Transdermal_Magnesium_Therapy_A_New_Modality_for.pdf,1801.0908203125,application/pdf,.pdf
data/raw/Cure_Tooth_Decay_Remineralize_Cavities_and_Repair_Your_Teeth_Naturally (2).pdf,Cure_Tooth_Decay_Remineralize_Cavities_and_Repair_Your_Teeth_Naturally (2).pdf,3216.197265625,application/pdf,.pdf
"data/raw/WILBER, Ken - The Religion of Tomorrow_ A Vision for the Future of the Great Traditions-More Inclusive, More Comprehensive, More Complete-With Integral Buddhism as an Example (2016, Shambhala) - libgen.lc.epub","WILBER, Ken - The Religion of Tomorrow_ A Vision for the Future of the Great Traditions-More Inclusive, More Comprehensive, More Complete-With Integral Buddhism as an Example (2016, Shambhala) - libgen.lc.epub",1246.9287109375,application/epub+zip,.epub
data/raw/Blitzed_drugs in nazi germany-_Norman_Ohler.pdf,Blitzed_drugs in nazi germany-_Norman_Ohler.pdf,40961.375,application/pdf,.pdf
data/raw/Frank Rudolph Young - Cyclomancy - The Secret of Psychic Power Control.pdf,Frank Rudolph Young - Cyclomancy - The Secret of Psychic Power Control.pdf,17989.7861328125,application/pdf,.pdf
data/raw/Lance-Dodes_Breaking_Addiction.pdf,Lance-Dodes_Breaking_Addiction.pdf,1112.4921875,application/pdf,.pdf
